Rank,Name,Position,Team,ByeWeek,ProjectedPoints,Age,SuspendedGames,PlayerId
99,Jordan Cameron,TE,MIA,5,94.7659,26,0,2495267
100,Ameer Abdullah,RB,DET,9,120.4013,22,0,2552374
101,Colin Kaepernick,QB,SF,10,272.9761,27,0,2495186
102,Kendall Wright,WR,TEN,4,111.5767,25,0,2532977
103,John Brown,WR,ARI,9,111.4015,25,0,2543847
104,Seattle Seahawks,DEF,SEA,9,137.8088,-1,0,100030
105,Pierre Garcon,WR,WAS,8,110.8043,28,0,2346
106,Houston Texans,DEF,HOU,9,136.8887,-1,0,100013
107,Terrance Williams,WR,DAL,6,108.7753,25,0,2539205
108,Breshad Perriman,WR,BAL,9,108.5124,21,0,2552597
109,Devonta Freeman,RB,ATL,10,114.9036,23,0,2543583
110,Coby Fleener,TE,IND,10,88.5913,26,0,2532838
111,Antonio Gates,TE,SD,10,87.5949,35,4,2505299
112,Doug Martin,RB,TB,6,112.9437,26,0,2532899
113,Kevin White,WR,CHI,7,105.6677,22,0,2553432
114,Josh Hill,TE,NO,11,85.8035,25,0,2541834
115,Charles Clay,RB,BUF,8,84.9981,26,0,2495139
116,Stephen Gostkowski,K,NE,4,154.6963,31,0,2506922
117,Owen Daniels,TE,DEN,7,84.9137,32,0,2495825
118,Joe Flacco,QB,BAL,9,263.4094,30,0,382
119,Heath Miller,TE,PIT,11,83.474,32,0,2506369
120,Kenny Stills,WR,MIA,5,103.0765,23,0,2540202
121,Victor Cruz,WR,NYG,11,102.8154,28,0,2507855
122,Shane Vereen,RB,NYG,11,109.2168,26,0,2495473
123,Doug Baldwin,WR,SEA,9,102.5737,26,0,2530747
124,Rueben Randle,WR,NYG,11,102.0076,24,0,2533533
125,Tyler Eifert,TE,CIN,7,82.1218,24,0,2540148
126,Brian Quick,WR,STL,6,101.7579,26,0,2532933
127,Malcom Floyd,WR,SD,10,101.7386,33,0,2505785
128,Teddy Bridgewater,QB,MIN,5,261.7136,22,0,2543465
129,Kyle Rudolph,TE,MIN,5,80.9849,25,0,2495438
130,Larry Donnell,TE,NYG,11,80.8314,26,0,2537933
131,Bishop Sankey,RB,TEN,4,106.7825,22,0,2543682
132,Jay Cutler,QB,CHI,7,259.328,32,0,2495824
133,Justin Tucker,K,BAL,9,148.3007,25,0,2536340
134,Jared Cook,TE,STL,6,78.2624,28,0,71265
135,Mason Crosby,K,GB,7,147.945,30,0,2507232
136,Percy Harvin,WR,BUF,8,97.138,27,0,80425
137,Adam Vinatieri,K,IND,10,147.053,42,0,2503471
138,Vernon Davis,TE,SF,10,77.2823,31,0,2495826
139,Cody Parkey,K,PHI,8,146.7886,23,0,2550380
140,Austin Seferian-Jenkins,TE,TB,6,76.9858,22,0,2543683
141,Philadelphia Eagles,DEF,PHI,8,122.7228,-1,0,100025
142,Dwayne Bowe,WR,CLE,11,96.08,30,0,2495558
143,New England Patriots,DEF,NE,4,122.4018,-1,0,100021
144,Connor Barth,K,DEN,7,145.7199,29,0,2507463
145,DeVante Parker,WR,MIA,5,95.3837,22,0,2552409
146,Kenny Britt,WR,STL,6,95.3145,26,0,71217
147,Jordan Reed,TE,WAS,8,74.6091,24,0,2540160
148,Dan Bailey,K,DAL,6,143.836,27,0,2495259
149,St. Louis Rams,DEF,STL,6,120.2579,-1,0,100017
150,Davante Adams,WR,GB,7,93.2729,22,0,2543495
151,Steven Hauschka,K,SEA,9,143.0125,30,0,2507374
152,Kansas City Chiefs,DEF,KC,9,118.6271,-1,0,100016
153,Ryan Mathews,RB,PHI,8,97.2575,27,0,497188
154,Michael Crabtree,WR,OAK,6,90.3801,27,0,71269
155,Carolina Panthers,DEF,CAR,5,116.557,-1,0,100004
156,Carson Palmer,QB,ARI,9,249.7738,35,0,2505245
157,Andy Dalton,QB,CIN,7,249.5088,27,0,2495143
158,Matt Bryant,K,ATL,10,139.4982,40,0,2504797
159,Alfred Blue,RB,HOU,9,95.8703,24,0,2543600
160,Ladarius Green,TE,SD,10,69.5959,25,0,2532853
161,Marvin Jones,WR,CIN,7,89.275,25,0,2532884
162,Eric Ebron,TE,DET,9,69.2508,22,0,2543466
163,Darren McFadden,RB,DAL,6,95.2398,27,0,284
164,Green Bay Packers,DEF,GB,7,114.7023,-1,0,100011
165,Steve Johnson,WR,SD,10,88.0689,28,0,768
166,David Johnson,RB,ARI,9,94.2537,23,0,2553435
167,Arizona Cardinals,DEF,ARI,9,111.6657,-1,0,100026
168,Alex Smith,QB,KC,9,244.9197,31,0,2506340
169,Tre Mason,RB,STL,6,91.115,21,0,2543502
170,Jace Amaro,TE,NYJ,5,64.314,23,0,2543481
171,Dan Carpenter,K,BUF,8,133.9965,29,0,2507401
172,Tom Brady,QB,NE,4,243.307,37,4,2504211
173,Markus Wheaton,WR,PIT,11,83.2435,24,0,2539291
174,Baltimore Ravens,DEF,BAL,9,109.6317,-1,0,100002
175,Maxx Williams,TE,BAL,9,63.1443,21,0,2552468
176,Denver Broncos,DEF,DEN,7,109.279,-1,0,100009
177,Marcus Mariota,QB,TEN,4,242.3898,21,0,2552466
178,New York Giants,DEF,NYG,11,108.6734,-1,0,100023
179,Knile Davis,RB,KC,9,88.3263,23,0,2540178
180,Sam Bradford,QB,PHI,8,241.7317,27,0,497095
181,Mychal Rivera,TE,OAK,6,61.5273,24,0,2539995
182,Detroit Lions,DEF,DET,9,107.6846,-1,0,100010
183,Jameis Winston,QB,TB,6,241.1114,21,0,2552033
184,Miami Dolphins,DEF,MIA,5,107.6204,-1,0,100019
185,Darren Sproles,RB,PHI,8,87.466,32,0,2506467
186,Eddie Royal,WR,CHI,7,80.8116,29,0,1990
187,Duke Johnson,RB,CLE,11,86.9027,21,0,2552461
188,Caleb Sturgis,K,MIA,5,130.2318,25,0,2539637
189,Charles Sims,RB,TB,6,86.7069,24,0,2543770
190,Indianapolis Colts,DEF,IND,10,106.4707,-1,0,100014
191,Allen Hurns,WR,JAC,8,79.8537,23,0,2550353
192,San Francisco 49ers,DEF,SF,10,106.1281,-1,0,100029
193,Randy Bullock,K,HOU,9,129.3475,25,0,2533444
194,Dallas Cowboys,DEF,DAL,6,105.7323,-1,0,100008
195,Blair Walsh,K,MIN,5,129.0407,25,0,2532968
196,Cody Latimer,WR,DEN,7,78.8069,22,0,2543590
197,Phil Dawson,K,SF,10,128.8017,40,0,2500351
198,Josh Brown,K,NYG,11,128.7532,36,0,2505459
199,Nick Toon,WR,NO,11,78.2419,26,0,2532960
200,Richard Rodgers,TE,GB,7,58.4795,23,0,2550313
201,Donte Moncrief,WR,IND,10,77.8902,21,0,2543614
202,Chandler Catanzaro,K,ARI,9,127.726,24,0,2550325
203,Robert Griffin,QB,WAS,8,237.161,25,0,2533033
204,Tampa Bay Buccaneers,DEF,TB,6,103.3983,-1,0,100031
205,Blake Bortles,QB,JAC,8,236.5416,23,0,2543477
206,Jacksonville Jaguars,DEF,JAC,8,102.965,-1,0,100015
207,Nick Novak,K,SD,10,126.47,33,0,2506194
208,Matt Prater,K,DET,9,126.3343,30,0,2506677
209,Graham Gano,K,CAR,5,125.5838,28,0,71309
210,David Cobb,RB,TEN,4,82.0448,22,0,2552376
211,Danny Woodhead,RB,SD,10,81.8972,30,0,4327
212,Devin Funchess,WR,CAR,5,75.3787,21,0,2552458
213,Andrew Hawkins,WR,CLE,11,75.3073,29,0,2508097
214,Cairo Santos,K,KC,9,125.2213,23,0,2550636
215,Cleveland Browns,DEF,CLE,11,101.5819,-1,0,100007
216,Cole Beasley,WR,DAL,6,74.5653,26,0,2535698
217,Robert Woods,WR,BUF,8,74.4266,23,0,2540169
218,Mike Nugent,K,CIN,7,124.4103,33,0,2506386
219,Fred Jackson,RB,BUF,8,80.7774,34,0,2506871
220,Cincinnati Bengals,DEF,CIN,7,100.7341,-1,0,100006
221,Reggie Bush,RB,SF,10,80.6817,30,0,2506874
222,Rob Housler,TE,CLE,11,54.1625,27,0,2508112
223,New York Jets,DEF,NYJ,5,100.3355,-1,0,100024
224,Chicago Bears,DEF,CHI,7,100.0046,-1,0,100005
225,Tavon Austin,WR,STL,6,73.1849,24,0,2539336
226,Marqise Lee,WR,JAC,8,72.9301,23,0,2543475
227,Atlanta Falcons,DEF,ATL,10,99.2401,-1,0,100001
228,Greg Zuerlein,K,STL,6,122.6518,27,0,2534797
229,Roy Helu,RB,OAK,6,78.6657,26,0,2495161
230,Nick Folk,K,NYJ,5,122.0275,30,0,2507225
231,Minnesota Vikings,DEF,MIN,5,98.2631,-1,0,100020
232,Cecil Shorts,WR,HOU,9,71.3664,27,0,2495341
233,Greg Jennings,WR,MIA,5,70.7108,31,0,2495867
234,Niles Paul,TE,WAS,8,50.7723,25,0,2495211
235,Jermaine Kearse,WR,SEA,9,70.3169,25,0,2532887
236,Brian Hartline,WR,CLE,11,69.6732,28,0,81831
237,Phillip Dorsett,WR,IND,10,69.3661,22,0,2552424
238,Shaun Suisham,K,PIT,11,119.2306,33,0,2506149
239,Derek Carr,QB,OAK,6,229.0508,24,0,2543499
240,Jacob Tamme,TE,ATL,10,49.0212,30,0,324
241,Pittsburgh Steelers,DEF,PIT,11,95.0485,-1,0,100027
242,Nick Foles,QB,STL,6,228.3619,26,0,2532842
243,Terrance West,RB,CLE,11,73.9036,24,0,2543664
244,New Orleans Saints,DEF,NO,11,93.7557,-1,0,100022
245,Dan Herron,RB,IND,10,73.1423,26,0,2532864
246,Nate Washington,WR,HOU,9,66.6073,31,0,2506313
247,Brent Celek,TE,PHI,8,46.7527,30,0,2507218
248,Garrett Graham,TE,HOU,9,46.5202,28,0,497234
249,Kai Forbath,K,WAS,8,116.0016,27,0,2495150
250,Virgil Green,TE,DEN,7,45.9344,26,0,2495288
251,Tennessee Titans,DEF,TEN,4,92.1629,-1,0,100012
252,Montee Ball,RB,DEN,7,72.0111,24,0,2539341
253,Cordarrelle Patterson,WR,MIN,5,65.4172,24,0,2540145
254,Sebastian Janikowski,K,OAK,6,115.1937,37,0,2504257
255,Dorial Green-Beckham,WR,TEN,4,65.1313,22,0,2552491
256,Stedman Bailey,WR,STL,6,65.1241,24,0,2540157
257,Patrick Murray,K,TB,6,114.4697,24,0,2543533
258,Denard Robinson,RB,JAC,8,70.9123,24,0,2539260
259,Dustin Hopkins,K,NO,11,114.267,24,0,2539227
260,Lance Kendricks,TE,STL,6,44.2067,27,0,2495187
261,Mohamed Sanu,WR,CIN,7,63.8684,25,0,2533040
262,Benjamin Watson,TE,NO,11,43.7785,34,0,2506122
263,Andre Roberts,WR,WAS,8,62.6481,27,0,497320
264,Andre Williams,RB,NYG,11,69.0996,22,0,2543565
265,Jarius Wright,WR,MIN,5,61.9172,25,0,2532978
266,Tyler Lockett,WR,SEA,9,61.8903,22,0,2552430
267,Taylor Gabriel,WR,CLE,11,61.4975,24,0,2550617
268,Clive Walford,TE,OAK,6,41.3939,23,0,2552397
269,Jaelen Strong,WR,HOU,9,60.8046,21,0,2552463
270,Scott Chandler,TE,NE,4,41.0547,29,0,2495573
271,Jay Ajayi,RB,MIA,5,66.644,22,0,2552582
272,Andrew Quarless,TE,GB,7,40.4042,26,0,497258
273,DeAngelo Williams,RB,PIT,11,66.1431,32,0,2495979
274,Josh Scobee,K,JAC,8,109.6249,33,0,2506063
275,San Diego Chargers,DEF,SD,10,85.2407,-1,0,100028
276,Lorenzo Taliaferro,RB,BAL,9,65.0509,23,0,2543704
277,James Starks,RB,GB,7,64.8637,29,0,497206
278,Crockett Gillmore,TE,BAL,9,38.2061,23,0,2543794
279,Devin Smith,WR,NYJ,5,57.9226,23,0,2553434
281,Harry Douglas,WR,TEN,4,57.29,30,0,222
282,Ryan Succop,K,TEN,4,107.2389,28,0,89802
283,Robbie Gould,K,CHI,7,107.1147,32,0,2506264
284,Stevan Ridley,RB,NYJ,5,63.3125,26,0,2495470
285,Jeff Cumberland,TE,NYJ,5,37.0386,28,0,2507883
286,Jermaine Gresham,TE,CIN,7,36.6295,27,0,497238
287,Lance Dunbar,RB,DAL,6,62.5398,25,0,2535708
288,Marcedes Lewis,TE,JAC,8,36.0573,31,0,2495888
289,Gavin Escobar,TE,DAL,6,35.9635,24,0,2540211
290,Dennis Pitta,TE,BAL,9,35.9027,30,0,497254
291,Rod Streater,WR,OAK,6,55.1318,27,0,2535869
292,Danny Amendola,WR,NE,4,54.7914,29,0,2649
293,James White,RB,NE,4,60.9014,23,0,2543773
294,Troy Niklas,TE,ARI,9,34.548,22,0,2543628
295,Matt Jones,RB,WAS,8,60.3859,22,0,2552635
296,Javorius Allen,RB,BAL,9,59.9467,23,0,2552631
297,Chris Conley,WR,KC,9,52.1865,22,0,2552652
298,Andre Holmes,WR,OAK,6,51.8814,27,0,2495453
299,Luke Willson,TE,SEA,9,32.1217,25,0,2541199
300,Washington Redskins,DEF,WAS,8,77.668,-1,0,100032
301,Jerick McKinnon,RB,MIN,5,57.644,23,0,2543715
302,DeAnthony Thomas,WR,KC,9,50.6761,22,0,2543638
303,Theo Riddick,RB,DET,9,56.9638,24,0,2540020
304,Riley Cooper,WR,PHI,8,50.2844,27,0,497282
305,Josh Huff,WR,PHI,8,50.0307,23,0,2543746
306,Albert Wilson,WR,KC,9,49.9768,22,0,2550272
307,Kamar Aiken,WR,BAL,9,49.5505,26,0,2530660
308,Devin Hester,WR,ATL,10,49.3592,32,0,2506897
309,Justin Hunter,WR,TEN,4,48.9178,24,0,2540151
310,Dion Sims,TE,MIA,5,29.0853,24,0,2540200
311,Jonas Gray,RB,NE,4,54.6034,25,0,2533030
312,Justin Hardy,WR,ATL,10,48.0793,23,0,2552418
313,Tim Wright,TE,NE,4,28.2309,25,0,2541768
314,Jerricho Cotchery,WR,CAR,5,47.585,33,0,2506004
315,Jeremy Kerley,WR,NYJ,5,47.5027,26,0,2495189
316,Levine Toilolo,TE,ATL,10,26.9572,23,0,2540203
317,Robert Turbin,RB,SEA,9,53.1106,25,0,2533460
318,Branden Oliver,RB,SD,10,52.5613,24,0,2550658
319,Marlon Brown,WR,BAL,9,45.7832,24,0,2540005
320,Philly Brown,WR,CAR,5,44.1932,23,0,2550546
321,Khiry Robinson,RB,NO,11,50.1526,25,0,2542022
322,Anthony Fasano,TE,TEN,4,23.0014,31,0,2495835
323,Pierre Thomas,RB,NO,11,48.2219,30,0,2507141
324,Antone Smith,RB,ATL,10,47.528,29,0,89798
325,Dexter McCluster,RB,TEN,4,47.3888,26,0,497190
326,Chris Polk,RB,HOU,9,47.2446,25,0,2533037
327,Daniel Fells,TE,NYG,11,20.9607,31,0,2506619
328,Hakeem Nicks,WR,TEN,4,40.5776,27,0,80672
329,Chris Matthews,WR,SEA,9,40.4645,25,0,2531049
330,Benny Cunningham,RB,STL,6,46.8829,24,0,2541544
332,Wes Welker,WR,DEN,7,40.0441,34,0,2505790
333,Travis Coons,K,CLE,11,89.921,23,0,2550551
334,Cameron Artis-Payne,RB,CAR,5,45.6528,23,0,2552375
336,Bilal Powell,RB,NYJ,5,45.4592,26,0,2495328
337,Tyler Kroft,TE,CIN,7,19.1995,22,0,2552586
338,Ed Dickson,TE,CAR,5,18.9539,27,0,497224
339,Brandon Myers,TE,TB,6,18.8938,29,0,89766
340,David Johnson,TE,SD,10,18.6744,27,0,79589
341,Joseph Fauria,TE,DET,9,18.3446,25,0,2539327
342,Oakland Raiders,DEF,OAK,6,64.32,-1,0,100018
343,Brandon Pettigrew,TE,DET,9,17.9286,30,0,71431
344,Tony Moeaki,TE,ATL,10,17.6719,28,0,497256
345,Zach Miller,TE,SEA,9,17.5838,29,0,2507170
346,Ray Rice,RB,BAL,9,43.8019,28,0,941
347,Leonard Hankerson,WR,ATL,10,37.2804,27,0,2495158
348,C.J. Fiedorowicz,TE,HOU,9,17.1644,23,0,2543721
349,Marquess Wilson,WR,CHI,7,36.7508,22,0,2540177
350,Louis Murphy,WR,TB,6,36.3796,28,0,80670
351,Chase Ford,TE,MIN,5,16.5914,24,0,2534244
352,Knowshon Moreno,RB,MIA,5,42.6811,27,0,79619
353,Gary Barnidge,TE,CLE,11,15.8883,29,0,1060
354,Bobby Rainey,RB,TB,6,41.8709,27,0,2534571
355,Zac Stacy,RB,NYJ,5,41.6166,24,0,2540273
356,Reggie Wayne,WR,IND,10,34.8617,36,0,2504747
357,Mike Tolbert,RB,CAR,5,41.3569,29,0,2507428
358,Bruce Ellington,WR,SF,10,34.652,23,0,2543646
359,MyCole Pruitt,TE,MIN,5,14.8434,23,0,2552401
360,Jesse James,TE,PIT,11,14.8144,21,0,2552633
361,Sammie Coates,WR,PIT,11,33.7719,22,0,2552470
362,Clay Harbor,TE,JAC,8,13.6384,27,0,497242
363,Toby Gerhart,RB,JAC,8,39.8163,28,0,497176
364,Ryan Griffin,TE,HOU,9,13.5378,25,0,2541316
365,Darren Fells,TE,ARI,9,13.4236,29,0,2540928
366,James Casey,TE,DEN,7,13.3171,30,0,71247
367,James Jones,WR,OAK,6,33.0332,31,0,2507183
368,Rhett Ellison,TE,MIN,5,13.1619,26,0,2532835
369,Chris Johnson,RB,NYJ,5,38.7006,29,0,262
